                 l            r(l,1)            r(l,2)            r(l,3)                Vp
    1.800000000E+02    1.207034886E+01    9.249678850E+01    1.198145747E+02    5.572401842E-04
    1.810000000E+02    5.552956462E+01    7.167058587E+01    2.559935153E+01    3.557892224E+00
    1.820000000E+02    1.571820825E+01    9.439341426E+01    5.132257938E+01    1.133163522E-01
    1.830000000E+02    7.892370224E+01    8.764825463E+01    1.916137815E+02    3.715936987E-07
    1.840000000E+02    3.476382494E+01    2.044913024E+01    2.664129734E+02    2.956364413E-12
    1.850000000E+02    9.811257124E+01    7.291430235E+01    2.970746994E+02    1.062767905E-15
    1.860000000E+02    2.234401852E+01    8.487537503E+01    2.680994272E+02    1.557122651E-12
    1.870000000E+02    4.735726714E+01    7.937899232E+01    2.200068533E+00    9.224460002E+00
    1.880000000E+02    5.328171253E+01    9.516488910E+01    1.832149625E+02    7.118842711E-07
    1.890000000E+02    3.280471265E+01    9.744898975E+00    2.431611061E+02    8.960704976E-11
    1.900000000E+02    9.953075647E+01    6.899216175E+01    1.244216561E+02    5.570391809E-05
    1.910000000E+02    7.617403865E+01    1.862830222E+01    2.529125512E+01    2.340940890E+00
    1.920000000E+02    8.243691325E+01    7.789520025E+01    6.831935048E+01    1.441888284E-01
    1.930000000E+02    5.763213038E+01    5.519971251E+01    2.518202305E+02    9.738822663E-11
    1.940000000E+02    5.530081689E+00    2.057811618E+01    2.072616816E+02    1.168539427E-08
    1.950000000E+02    9.615247846E+01    5.560382605E+01    2.992425919E+02    1.892710162E-15
    1.960000000E+02    5.017260909E+01    1.647143662E+01    9.921476245E+00    6.097947115E+00
    1.970000000E+02    9.922345281E+01    4.071188718E+00    1.706023932E+02    6.870417577E-08
    1.980000000E+02    6.668710113E+01    3.085910082E+01    9.003833532E+01    5.959112505E-02
    1.990000000E+02    6.083684973E-01    3.765875101E+01    2.870721817E+02    2.776718887E-15
    2.000000000E+02    9.744373560E+01    5.746154785E+01    4.778132141E+01    1.236760727E-01
    2.010000000E+02    5.235906839E+01    8.564149141E+01    2.396301746E+02    4.144792980E-10
    2.020000000E+02    7.500686049E+01    8.242142200E+01    3.948091030E+02    1.595920965E-24
    2.030000000E+02    6.919635087E+00    3.185456991E+01    1.047727466E+02    4.428456104E-03
